,시험명,전체,국어,영어,수학,과학,사회,역사,평균
86,AI진단평가,510,86.0,100.0,100.0,82.0,63.0,79.0,85.0
87,AI진단평가,351,86.0,93.0,42.0,,30.0,100.0,70.2
88,AI진단평가,369,86.0,79.0,57.0,15.0,79.0,53.0,61.5
89,AI진단평가,343,65.0,93.0,55.0,23.0,61.0,46.0,57.16666666666666
90,AI진단평가,394,100.0,100.0,94.0,,100.0,,98.5
91,AI진단평가,418,93.0,100.0,100.0,69.0,56.0,,83.6
92,AI진단평가,516,100.0,100.0,88.0,82.0,56.0,90.0,86.0
93,AI진단평가,307,54.0,100.0,60.0,45.0,48.0,,61.4
94,AI진단평가,309,100.0,65.0,65.0,,79.0,,77.25
95,AI진단평가,296,100.0,65.0,47.0,15.0,69.0,,59.2
96,AI진단평가,378,100.0,100.0,72.0,53.0,53.0,,75.6
97,AI진단평가,296,93.0,86.0,69.0,,48.0,,74.0
98,AI진단평가,243,44.0,51.0,32.0,45.0,71.0,,48.6
99,AI진단평가,65,65.0,0.0,0.0,,0.0,,16.25
100,AI진단평가,179,93.0,86.0,0.0,0.0,0.0,,35.8
101,AI진단평가,251,11.0,93.0,46.0,48.0,53.0,,50.2
102,AI진단평가,318,54.0,79.0,46.0,45.0,56.0,38.0,53.0
103,AI진단평가,252,63.0,63.0,63.0,,63.0,,63.0
104,AI진단평가,494,100.0,93.0,71.0,61.0,100.0,69.0,82.33333333333333
105,AI진단평가,327,79.0,93.0,65.0,,90.0,,81.75
106,AI진단평가,501,86.0,86.0,83.0,90.0,100.0,56.0,83.5
107,AI진단평가,412,100.0,93.0,61.0,79.0,79.0,,82.4
108,AI진단평가,305,72.0,93.0,46.0,15.0,79.0,0.0,50.833333333333336
109,AI진단평가,426,86.0,93.0,68.0,79.0,100.0,,85.2
110,AI진단평가,386,86.0,93.0,46.0,90.0,71.0,,77.2
111,AI진단평가,259,61.0,65.0,32.0,45.0,56.0,,51.8
112,AI진단평가,425,86.0,79.0,56.0,53.0,90.0,61.0,70.83333333333333
113,AI진단평가,358,93.0,72.0,32.0,61.0,100.0,,71.6
114,AI진단평가,333,93.0,93.0,46.0,30.0,71.0,,66.6
115,AI진단평가,362,86.0,100.0,94.0,82.0,0.0,,72.4
